Cindy, Jun 19, Jun 24, 60, 1004, 0 
Don, Jul 17, Jul 19, 50, 1012, 0 
Emily, Jul 31, Aug 2, 45, 1012, 0 
Franklin, Aug 6, Aug 10, 85, 1008, 1 
Gert, Aug 13, Aug 17, 105, 1011, 2 
Harvey, Aug 17, Sep 2, 130, 1013, 4 
Irma, Aug 30, Sep 12, 185, 1004, 5 
Jose, Sep 5, Sep 22, 155, 1008, 4 
Katia, Sep 5, Sep 9, 105, 1008, 2 
Lee, Sep 15, Sep 30, 115, 1014, 3 
Maria, Sep 16, Sep 30, 175, 1008, 5 
Nate, Oct 4, Oct 9, 90, 1006, 1 
Ophelia, Oct 9, Oct 12, 100, 1008, 2 
